Row,Name,Assembly Length,# Genes,Published
324,Aspergillus persii CBS 112795 v1.0,"37,819,877","12,945",
325,Aspergillus petrakii CBS 105.57 v1.0,"35,785,289","12,569",
326,Aspergillus phaeropenicillioides DTO 356-D6 v1.0,"23,478,672","8,609",
327,Aspergillus piperis CBS 112811 v1.0,"35,280,331","12,069","Vesth TC et al., 2018"
328,Aspergillus polyporicola DTO 316-C2 v1.0,"32,889,483","12,245",
330,Aspergillus primulinus CBS 253.94 v1.0,"29,599,833","9,967",
332,Aspergillus pseudocaelatus CBS 117616 v1.0,"39,651,556","13,895","Kjærbølling I et al., 2020"
333,Aspergillus pseudodeflectus v1.0,"39,072,803","14,450",
334,Aspergillus pseudofelis IBT 34107 v1.0,"31,872,379","11,062",
335,Aspergillus pseudonomius CBS 119388 v1.0,"37,780,514","13,384","Kjærbølling I et al., 2020"
336,Aspergillus pseudotamarii CBS 117625 v1.0,"38,243,929","13,428","Kjærbølling I et al., 2020"
337,Aspergillus pseudoterreus ATCC32359 v1.0,"29,514,308","10,945","Deng S et al., 2020"
338,Aspergillus pseudoterreus DTO 47-E6 v1.0,"29,544,707","11,237",
340,Aspergillus pseudoviridinutans IBT 34175 v1.0,"32,178,480","11,303",
341,Aspergillus pulvericola CBS 137327 v1.0,"34,902,482","11,818",
342,Aspergillus punctus DTO308-D1 v1.0,"26,671,236","9,582",
344,Aspergillus puulaauensis IBT 32284 v1.0,"33,961,053","12,901",
345,Aspergillus quadrilineatus (floriformis) CBS 937.73 v1.0,"32,523,387","11,243",
346,Aspergillus quadrilineatus (gemmatus) CBS 853.96 v1.0,"32,622,438","11,247",
347,Aspergillus rambellii 100887 v1.0,"27,025,887","9,133",
349,Aspergillus recurvatus v1.0,"30,717,846","11,007",
350,Aspergillus restrictus CBS 118.33 v1.0,"23,256,008","9,143",
352,Aspergillus robustus CBS 428.77 v1.0,"33,138,998","12,182",
353,Aspergillus roseoglobulosus CBS112800 v1.0,"35,815,337","12,489",
354,Aspergillus ruber UNK v1.0,"25,875,122","9,337",
355,Aspergillus saccharolyticus JOP 1030-1 v1.0,"31,096,189","10,066","Vesth TC et al., 2018"
356,Aspergillus sclerotiicarbonarius CBS 121057 v1.0,"37,621,264","12,571","Vesth TC et al., 2018"
358,Aspergillus sclerotiorum CBS 549.65 v1.0,"37,971,091","12,620",
359,Aspergillus sepultus CBS 257.85 v1.0,"32,180,178","12,290",
360,Aspergillus sergii CBS 130017 v1.0,"38,325,693","13,713","Kjærbølling I et al., 2020"
361,Aspergillus sesamicola CBS 137324 v1.0,"38,310,826","12,058",
362,Aspergillus shendaweii IBT 34197 v1.0,"29,202,661","9,995",
363,Aspergillus siamensis CBS 137452 v1.0,"32,734,164","11,213",
365,Aspergillus similis v1.0,"33,170,230","11,407",
366,Aspergillus spathulatus CBS 408.89 v1.0,"30,090,286","9,719",
367,Aspergillus spectabilis CBS 429.77A v1.0,"38,710,628","13,927",
369,Aspergillus spiritus DTO 241-G7 v1.0,"26,173,656","10,176",
370,Aspergillus stella-maris CBS 113639 v1.0,"33,998,249","12,537",
371,Aspergillus stellifer CBS 598.65 v1.0,"31,756,464","10,684",
372,Aspergillus stercoraria CBS 428.93 v1.0,"29,263,932","10,324",
374,Aspergillus subalbidus CBS 138192 v1.0,"27,302,299","9,411",
375,Aspergillus subauricomus CBS 638.78 v1.0,"36,467,018","13,105",
377,Aspergillus subramanianii CBS 138230 v1.0,"37,435,068","12,314",
378,Aspergillus subversicolor IBT 32280 v1.0,"34,997,533","12,999",
379,Aspergillus sulphureoviridis CBS 140626 v1.0,"32,133,820","10,828",
380,Aspergillus sulphureus CBS 550.65 v1.0,"37,232,067","12,470",
381,Aspergillus sydowii CBS 593.65 v1.0,"34,381,026","13,620","de Vries RP et al., 2017"
383,Aspergillus tamarii CBS 117626 v1.0,"38,511,287","13,331","Kjærbølling I et al., 2020"
385,Aspergillus templicola CBS 138181 v1.0,"33,946,247","12,132",
386,Aspergillus tennesseensis IBT 32283 v1.0,"33,969,804","12,788",
387,Aspergillus teporis DTO058-E5 v1.0,"24,332,833","8,767",
388,Aspergillus terreus CBS 130.55 v1.0,"31,346,777","11,524",
389,Aspergillus terreus NIH 2624,"29,331,195","10,406","Arnaud MB et al., 2012"
390,Aspergillus tetrazonus CBS 591.65A v1.0,"32,143,916","11,156",
391,Aspergillus thermomutatus v1.0,"31,404,673","11,553",
392,Aspergillus thesauricus IBT 34227 v1.0,"37,882,319","12,812",
393,Aspergillus transcarpathicus CBS 423.68 v1.0,"30,225,050","10,456",
394,Aspergillus transmontanensis CBS 130015 v1.0,"39,338,775","14,216","Kjærbølling I et al., 2020"
395,Aspergillus trinidadensis IBT 32571 v1.0,"39,761,744","12,066",
396,Aspergillus triticus CBS266.81 v1.0,"27,452,540","9,769",
397,Aspergillus tsurutae IBT 34206 v1.0,"28,253,752","9,736",
398,Aspergillus tubingensis v1.0,"35,146,149","12,322","de Vries RP et al., 2017"
399,Aspergillus turcosus IBT 27921 v1.0,"30,103,609","10,906",
400,Aspergillus udagawae CBS 114217 v1.0,"32,175,948","11,454",
402,Aspergillus umbrosus CBS 117.46 v1.0,"27,419,784","11,010",
404,Aspergillus unguis CBS132.55 v1.0,"26,060,700","10,397",
405,Aspergillus unilateralis CBS 126.56 v1.0,"29,690,366","9,881",
406,Aspergillus uvarum CBS 121591 v1.0,"35,850,703","12,017","Vesth TC et al., 2018"
408,Aspergillus varians CBS 505.65 v1.0,"29,824,925","10,839",
410,Aspergillus versicolor v1.0,"33,126,810","13,228","de Vries RP et al., 2017"
412,Aspergillus violaceus CBS 138.55 v1.0,"35,991,531","12,080",
414,Aspergillus waksmanii IBT 31900 v1.0,"32,299,683","10,322",
415,Aspergillus welwitschiae CBS139.54b v1.0,"37,511,876","13,687","Vesth TC et al., 2018"
417,Aspergillus westerdijkiae CBS 112803 v1.0,"36,270,834","11,946",
419,Aspergillus xerophilus CBS 938.73 v1.0,"23,969,447","9,714",
421,Astrocystis sublimbata CBS 130006 v1.0,"42,778,081","12,484","Franco MEE et al., 2022"
422,Atractiellales rhizophila PMI 95 v2.0,"51,470,471","17,606",
423,Atropellis piniphila CBS 197.64 v1.0,"43,942,509","15,622",
425,Aureobasidium pullulans ATCC 62921,"28,038,881","11,167",
427,Aureobasidium pullulans var. melanogenum CBS 110374,"26,203,324","10,594","Gostinčar C et al., 2014"
429,Aureobasidium pullulans var. pullulans EXF-150,"29,621,078","11,866","Gostinčar C et al., 2014"
431,Auricularia subglabra v2.0,"76,853,599","25,459","Floudas D et al., 2012"
432,Auriculariopsis ampla NL-1724 v1.0,"49,873,921","15,576","Almási É et al., 2019"
434,Babjeviella inositovora NRRL Y-12698 v1.0,"15,221,050","6,403","Riley R et al., 2016"
436,Backusella lamprospora NRRL 3300 v1.0,"48,727,570","15,945",
437,Basidioascus undulatus,"32,128,072","6,123",
438,Basidiobolus meristosporus CBS 931.73 v1.0,"89,489,060","16,111","Mondo SJ et al., 2017"
439,Basidiobolus microsporus NRRL 2992 v1.0,"102,047,676","14,257",
440,Batrachochytrium dendrobatidis JAM81 v1.0,"24,315,081","8,732",
442,Baudoinia compniacensis UAMH 10762 (4089826) v1.0,"21,876,451","10,513","Ohm RA et al., 2012"
443,Beauveria bassiana ARSEF 2860,"33,693,936","10,364","Xiao G et al., 2012"
444,Beauveria brongniartii RCEF 3172,"32,515,992","9,595","Shang Y et al., 2016"
445,Benjaminiella poitrasii RSA 903 v1.0,"32,504,669","11,659","Wang Y et al., 2023"
446,Bifiguratus adelaidae AZ0501,"19,478,880","5,719","Torres-Cruz TJ et al., 2017"
447,Bimuria novae-zelandiae CBS 107.79 v1.0,"78,183,505","16,681","Haridas S et al., 2020"
448,Bipolaris sorokiniana ND93-1 v1.0,"36,481,130","11,564",
450,Biscogniauxia mediterranea AZ0048 v1.0,"44,776,836","11,079","Franco MEE et al., 2022"
452,Biscogniauxia nummularia v1.0,"41,161,898","11,671",
453,Biscogniauxia simplicior CBS 381.85 v2.0,"135,371,476","12,068",
454,Biscogniauxia sp. FL1348 v1.0,"41,733,781","10,869","Franco MEE et al., 2022"
455,Bisporella sp. PMI857 v1.0,"56,472,170","17,945",
456,Bjerkandera adusta v1.0,"42,730,300","15,473","Binder M et al., 2013"
457,Blakeslea trispora F921 v1.0,"33,516,133","11,119",
458,Blakeslea trispora F986 v1.0,"32,322,358","10,672",
460,Blastobotrys (Arxula) adeninivorans,"11,804,616","6,119","Kunze G et al., 2014"
461,Blastobotrys indianensis NRRL YB-1950,"14,239,844","6,529",
462,Blastobotrys raffinosifermentans NRRL Y-27150,"12,020,469","6,102","Shen XX et al., 2018"
463,Blastocladiella britannica v1.0,"19,075,314","9,431","Amses KR et al., 2022"
464,Blastomyces dermatitidis ER-3,"66,608,683","11,539","Muñoz JF et al., 2015"
466,Blastomyces percursus EI222,"32,310,953","10,285","Dukik K et al., 2017"
467,Blumeria graminis f. sp. hordei 5874 v1.0,"110,355,401","7,057",
468,Blumeria graminis f. sp. hordei DH14,"124,489,486","7,118","Frantzeskakis L et al., 2018"
470,Blumeria graminis f. sp. tritici 96224 v3.16,"140,802,721","6,425","Müller MC et al., 2019"
472,Boeremia exigua MPI-SDFR-AT-0100 v1.0,"35,322,113","12,871","Mesny F et al., 2021"
474,Boletus coccyginus 2016PMI039 v1.0,"54,939,811","12,353",
475,Boletus edulis BED1 v4.0,"66,525,535","18,722","Miyauchi S et al., 2020"
476,Boletus edulis Přilba v1.0,"69,185,680","18,123","Miyauchi S et al., 2020"
477,Boletus reticuloceps BR01,"55,835,099","13,195","Wu G et al., 2022"
